Orthogroup	Amblyomma_aureolatum	Ixodes_scapularis	Ornithodoros_erraticus	Ornithodoros_moubata	Ornithodoros_rostratus	Rhipicephalus_bursa	Rhipicephalus_microplus	Rhipicephalus_sanguineus	Rhipicephalus_zambeziensis
OG0002868	sp|O75431|MTX2_HUMAN, sp|Q2L969|MTX2_PIG		tr|B7PI07|B7PI07_IXOSC	tr|B7PI07|B7PI07_IXOSC	sp|Q2L969|MTX2_PIG	tr|A0A023GH86|A0A023GH86_AMBTT			sp|O75431|MTX2_HUMAN
OG0002869	sp|Q6Q0N0|CSTN1_RAT		XP_021003658.1	XP_023227601.1	sp|Q9V498|CSTN1_DROME	tr|L7LYC9|L7LYC9_RHIPC, tr|V5GXS3|V5GXS3_IXORI			sp|Q9V498|CSTN1_DROME
OG0002870	sp|A4QP81|FRRS1_DANRE, sp|D3ZE85|FRS1L_RAT, sp|Q6INU7|FRRS1_XENLA, sp|Q8K385|FRRS1_MOUSE				sp|A4QP81|FRRS1_DANRE			sp|Q8K385|FRRS1_MOUSE	sp|A4QP81|FRRS1_DANRE
OG0002871	sp|Q5RJR2|TWF1_RAT		tr|B7PD47|B7PD47_IXOSC	tr|B7PD47|B7PD47_IXOSC	sp|Q91YR1|TWF1_MOUSE	tr|L7M953|L7M953_RHIPC		sp|Q5RJR2|TWF1_RAT	sp|Q91YR1|TWF1_MOUSE
OG0002872	sp|Q642G4|PEX14_RAT		tr|B7PJN5|B7PJN5_IXOSC	tr|B7PJN5|B7PJN5_IXOSC	sp|Q642G4|PEX14_RAT	tr|L7M5H6|L7M5H6_RHIPC			sp|O75381|PEX14_HUMAN, sp|Q9R0A0|PEX14_MOUSE
OG0002873	sp|Q6NZ09|ADRM1_DANRE		XP_015916030.1, tr|B7Q8R1|B7Q8R1_IXOSC	XP_023231709.1	sp|Q6P877|ADRM1_XENTR	tr|L7M7K4|L7M7K4_RHIPC			sp|Q6NZ09|ADRM1_DANRE
OG0002874	sp|Q15428|SF3A2_HUMAN, sp|Q6AXT8|SF3A2_RAT		tr|B7P952|B7P952_IXOSC	tr|B7P952|B7P952_IXOSC	sp|Q15428|SF3A2_HUMAN	tr|A0A023GGT0|A0A023GGT0_AMBTT			sp|Q15428|SF3A2_HUMAN
OG0002875	sp|Q6UX71|PXDC2_HUMAN		tr|B7PT53|B7PT53_IXOSC	tr|B7PT53|B7PT53_IXOSC	sp|Q9DC11|PXDC2_MOUSE	tr|B7PT53|B7PT53_IXOSC, tr|L7M6P6|L7M6P6_RHIPC			sp|Q91ZV7|PLDX1_MOUSE
OG0002876	sp|Q68CP4|HGNAT_HUMAN		KFM79557.1	XP_013789471.2, XP_021917642.1, XP_023217110.1	sp|Q68CP4|HGNAT_HUMAN	tr|V5IC92|V5IC92_IXORI			
OG0002877	sp|P37287|PIGA_HUMAN		tr|B7Q0R1|B7Q0R1_IXOSC	XP_022245315.1, XP_023240450.1, tr|B7Q0R1|B7Q0R1_IXOSC	sp|P37287|PIGA_HUMAN	tr|A0A023GKJ8|A0A023GKJ8_AMBTT			
OG0002878	sp|Q3SZL5|PIGS_BOVIN		tr|B7Q6W0|B7Q6W0_IXOSC	tr|B7Q6W0|B7Q6W0_IXOSC	sp|Q3SZL5|PIGS_BOVIN	tr|A0A023GLC4|A0A023GLC4_AMBTT, tr|L7MAD4|L7MAD4_RHIPC			sp|Q3SZL5|PIGS_BOVIN
OG0002879	sp|B0RB78|GLMM_CLAMS, sp|B9K6U6|GLMM_THENN, sp|Q7V4W4|GLMM_PROMM, sp|Q83GU5|GLMM_TROWT, sp|Q88YE8|GLMM_LACPL				sp|A9W9G7|GLMM_METEP, sp|C1DFL3|GLMM_AZOVD				
OG0002880	sp|Q86BN8|PTPM1_DROME		tr|B7QAW4|B7QAW4_IXOSC	tr|B7QAW4|B7QAW4_IXOSC	sp|Q86BN8|PTPM1_DROME	tr|A0A023GFT6|A0A023GFT6_AMBTT, tr|G3MNJ8|G3MNJ8_AMBMU			sp|Q86BN8|PTPM1_DROME
OG0002881	sp|P70191|TRAF5_MOUSE		XP_021001615.1	XP_021001615.1	sp|O00463|TRAF5_HUMAN, sp|P70191|TRAF5_MOUSE	tr|A0A090XBM1|A0A090XBM1_IXORI			sp|P70191|TRAF5_MOUSE
OG0002882	sp|P30043|BLVRB_HUMAN		tr|B7PJY6|B7PJY6_IXOSC	tr|B7PJY6|B7PJY6_IXOSC	sp|P52556|BLVRB_BOVIN	tr|L7M354|L7M354_RHIPC		sp|P30043|BLVRB_HUMAN	sp|P30043|BLVRB_HUMAN
OG0002883	sp|Q61382|TRAF4_MOUSE, sp|Q9BUZ4|TRAF4_HUMAN		XP_026276200.1, tr|B7P7P1|B7P7P1_IXOSC	XP_013777955.1	sp|Q61382|TRAF4_MOUSE	tr|B7P7P1|B7P7P1_IXOSC			
OG0002884	sp|Q12894|IFRD2_HUMAN		CAB55819.1, CAC20598.1	CAC20598.1	sp|Q12894|IFRD2_HUMAN	tr|L7M8S7|L7M8S7_RHIPC			sp|Q5S1U6|IFRD1_PIG
OG0002885	sp|Q6NVC5|MIRO1_DANRE		XP_022247924.1	XP_022247922.1	sp|Q8BG51|MIRO1_MOUSE	tr|A0A023GFM9|A0A023GFM9_AMBTT, tr|L7MJ88|L7MJ88_RHIPC			sp|Q6NVC5|MIRO1_DANRE
OG0002886	sp|Q5R5H4|PARL_PONAB		XP_023238699.1	XP_023238699.1	sp|Q2KHV4|PARL_BOVIN	tr|L7M848|L7M848_RHIPC, tr|V5IEM9|V5IEM9_IXORI			sp|Q5XJY4|PARL_MOUSE
OG0002887	sp|Q53H96|P5CR3_HUMAN, sp|Q5PQJ6|P5CR3_RAT				sp|A1L2Q8|P5CR3_XENLA, sp|Q17QJ7|P5CR2_BOVIN	tr|L7M0S7|L7M0S7_RHIPC		sp|Q53H96|P5CR3_HUMAN	sp|Q53H96|P5CR3_HUMAN
OG0002888	sp|Q5RDE7|NFS1_PONAB		tr|B7PGB2|B7PGB2_IXOSC	tr|B7PGB2|B7PGB2_IXOSC	sp|Q9Z1J3|NFS1_MOUSE	tr|L7M8P6|L7M8P6_RHIPC		sp|Q9Z1J3|NFS1_MOUSE	sp|Q5RDE7|NFS1_PONAB
OG0002889	sp|Q6DD21|CBPC1_XENLA		XP_022237142.1	XP_013793241.1	sp|Q4U2V3|CBPC1_DANRE	tr|B7PHS3|B7PHS3_IXOSC, tr|L7M4T2|L7M4T2_RHIPC			sp|Q641K1|CBPC1_MOUSE
OG0002890	sp|Q28G67|ABITM_XENTR		XP_026278313.1	XP_023719614.1, XP_026278313.1	sp|Q29S16|ABITM_BOVIN	tr|L7M4R5|L7M4R5_RHIPC			sp|Q28G67|ABITM_XENTR
OG0002891	sp|P28337|GCST_CHICK, sp|Q7NFJ5|GCST_GLOVI	JAB70884.1			sp|P48728|GCST_HUMAN	tr|A0A023GJT2|A0A023GJT2_AMBTT, tr|B7P6X5|B7P6X5_IXOSC			sp|P48728|GCST_HUMAN
OG0002892	sp|P54368|OAZ1_HUMAN, sp|Q56K12|OAZ1_BOVIN		tr|B7QIK1|B7QIK1_IXOSC	XP_023216340.1, tr|B7QIK1|B7QIK1_IXOSC	sp|O42148|OAZ1_CHICK	tr|A0A023G9Y5|A0A023G9Y5_AMBTT			
OG0002893	sp|Q8HZR3|FUT4_BOVIN		tr|B7PIS7|B7PIS7_IXOSC	tr|B7PIS7|B7PIS7_IXOSC		tr|A0A023GFR3|A0A023GFR3_AMBTT, tr|L7MDR6|L7MDR6_RHIPC, tr|L7MJF5|L7MJF5_RHIPC			sp|Q11126|FUT3_BOVIN
OG0002894	sp|O19071|MGAT2_PIG		XP_003740359.1, XP_015924764.1	PRD30649.1, XP_023212337.1		tr|L7MF02|L7MF02_RHIPC			sp|O19071|MGAT2_PIG
OG0002895	sp|Q9CPV4|GLOD4_MOUSE		tr|B7QBY6|B7QBY6_IXOSC	tr|B7QBY6|B7QBY6_IXOSC	sp|Q5I0D1|GLOD4_RAT	tr|L7M7H8|L7M7H8_RHIPC		sp|Q9CPV4|GLOD4_MOUSE	sp|Q9CPV4|GLOD4_MOUSE
OG0002896	sp|Q9V730|EXT1_DROME		XP_023230207.1	XP_023230207.1	sp|Q9V730|EXT1_DROME	tr|A0A023GLU8|A0A023GLU8_AMBTT, tr|L7MJY8|L7MJY8_RHIPC			sp|Q9V730|EXT1_DROME
OG0002897	sp|Q9VLQ1|ALG5_DROME		XP_023218680.1	XP_001970270.1	sp|Q9VLQ1|ALG5_DROME	tr|L7MIJ2|L7MIJ2_RHIPC		sp|Q9VLQ1|ALG5_DROME	sp|Q9VLQ1|ALG5_DROME
OG0002898	sp|Q2PQH8|GDE_CANLF		KDR16306.1	KDR16306.1, XP_023708487.1	sp|Q2PQH8|GDE_CANLF	tr|B7QG62|B7QG62_IXOSC			sp|Q2PQH8|GDE_CANLF
OG0002899	sp|Q5I0K7|ALG13_RAT		tr|B7PSE4|B7PSE4_IXOSC	DAA34776.1, tr|B7PSE4|B7PSE4_IXOSC	sp|Q5I0K7|ALG13_RAT	tr|L7M6I1|L7M6I1_RHIPC			sp|Q5I0K7|ALG13_RAT
OG0002900	sp|P52034|PFKA_DROME		PRD36215.1	KFM80460.1	sp|P52034|PFKA_DROME	tr|L7M105|L7M105_RHIPC		sp|P52034|PFKA_DROME	sp|P52034|PFKA_DROME
OG0002901	sp|F1RKQ4|TKFC_PIG		tr|B7PVU5|B7PVU5_IXOSC	XP_022237197.1, tr|B7PVU5|B7PVU5_IXOSC	sp|Q3LXA3|TKFC_HUMAN	tr|B7PVU5|B7PVU5_IXOSC, tr|V5IHX2|V5IHX2_IXORI			
OG0002902	sp|O14732|IMPA2_HUMAN		XP_023237087.1	XP_003743657.1	sp|O14732|IMPA2_HUMAN	tr|L7M4E9|L7M4E9_RHIPC		sp|O14732|IMPA2_HUMAN	sp|O14732|IMPA2_HUMAN
OG0002903	sp|Q66IL0|CHID1_XENTR		XP_003745077.1	XP_013787202.1	sp|Q66IL0|CHID1_XENTR	tr|L7MBG1|L7MBG1_RHIPC		sp|Q66IL0|CHID1_XENTR	sp|Q66IL0|CHID1_XENTR
OG0002904	sp|Q5SP90|PP4R3_DANRE, sp|Q9VFS5|PP4R3_DROME		XP_023236414.1	XP_023236414.1	sp|Q5SP90|PP4R3_DANRE	tr|L7M691|L7M691_RHIPC			sp|Q5SP90|PP4R3_DANRE
OG0002905	sp|Q6P7Q4|LGUL_RAT		XP_023234562.1	XP_013787231.1	sp|Q9CPU0|LGUL_MOUSE	tr|L7M6T3|L7M6T3_RHIPC		sp|Q6P7Q4|LGUL_RAT	sp|Q6P7Q4|LGUL_RAT
OG0002906	sp|Q7T3H9|HYI_DANRE		tr|B7PC71|B7PC71_IXOSC	tr|B7PC71|B7PC71_IXOSC	sp|Q7T3H9|HYI_DANRE	tr|G3MFZ3|G3MFZ3_AMBMU, tr|L7M435|L7M435_RHIPC			sp|Q7T3H9|HYI_DANRE
OG0002907	sp|Q5XIG6|GALK2_RAT		tr|B7PKS9|B7PKS9_IXOSC	XP_022247538.1, tr|B7PKS9|B7PKS9_IXOSC	sp|Q5R6J8|GALK2_PONAB	tr|L7LWK2|L7LWK2_RHIPC			sp|Q5XIG6|GALK2_RAT
OG0002908	sp|Q9VLS1|KPBB_DROME		XP_022240966.1	XP_022240963.1, XP_022240966.1	sp|Q9VLS1|KPBB_DROME	tr|L7M6Q2|L7M6Q2_RHIPC			sp|Q9VLS1|KPBB_DROME
OG0002909	sp|P16930|FAAA_HUMAN	EEC12306.1	tr|B7Q0D4|B7Q0D4_IXOSC	tr|B7Q0D4|B7Q0D4_IXOSC		tr|A0A023FJT6|A0A023FJT6_AMBCJ, tr|A0A023GM42|A0A023GM42_AMBTT		sp|P35505|FAAA_MOUSE	
OG0002910	sp|Q92122|KPYM_XENLA	EEC12307.1			sp|Q92122|KPYM_XENLA	tr|A0A023GN59|A0A023GN59_AMBTT, tr|A0A0A7DS56|A0A0A7DS56_RHIMP		sp|P14618|KPYM_HUMAN	sp|P14618|KPYM_HUMAN
OG0002911	sp|Q5R7H0|DHTK1_PONAB	EEC14367.1		tr|B7Q676|B7Q676_IXOSC	sp|A2ATU0|DHTK1_MOUSE	tr|L7M655|L7M655_RHIPC		sp|Q5R7H0|DHTK1_PONAB	sp|Q5R7H0|DHTK1_PONAB
OG0002912	sp|P05065|ALDOA_RAT	EEC14101.1	ASV64058.1		sp|P05065|ALDOA_RAT	tr|L7M7W2|L7M7W2_RHIPC		sp|P05065|ALDOA_RAT	sp|P05065|ALDOA_RAT
OG0002913	sp|O88788|AG10B_RAT		tr|B7PY71|B7PY71_IXOSC	tr|B7PY71|B7PY71_IXOSC	sp|Q5I7T1|AG10B_HUMAN	tr|A0A023GNA7|A0A023GNA7_AMBTT, tr|B7PY71|B7PY71_IXOSC, tr|L7M6I7|L7M6I7_RHIPC			
OG0002914	sp|Q3T1L5|ALG6_RAT, sp|Q3TAE8|ALG6_MOUSE				sp|Q802T2|ALG6_CHICK	tr|A0A023GDZ7|A0A023GDZ7_AMBTT, tr|B7PH81|B7PH81_IXOSC, tr|L7LWD4|L7LWD4_RHIPC			sp|Q3TAE8|ALG6_MOUSE
OG0002915	sp|Q6NSJ0|MYORG_HUMAN		tr|B7PHV2|B7PHV2_IXOSC	tr|B7PHV2|B7PHV2_IXOSC	sp|Q69ZQ1|MYORG_MOUSE	tr|L7M6F1|L7M6F1_RHIPC		sp|Q6NSJ0|MYORG_HUMAN	sp|Q6NSJ0|MYORG_HUMAN
OG0002916	sp|Q92685|ALG3_HUMAN		XP_022668293.1	EEC17476.1, OAD54187.1		tr|L7M7H6|L7M7H6_RHIPC			sp|P82149|NT53_DROME, sp|Q92685|ALG3_HUMAN
OG0002917	sp|Q6GQB9|EDEM3_XENLA		XP_022253804.1	XP_022253804.1	sp|Q6GQB9|EDEM3_XENLA	tr|G3MFM7|G3MFM7_AMBMU, tr|L7M0C8|L7M0C8_RHIPC			sp|Q6GQB9|EDEM3_XENLA
OG0002918	sp|P55916|UCP3_HUMAN		tr|B7PD13|B7PD13_IXOSC	XP_022245178.1, tr|B7PD13|B7PD13_IXOSC	sp|P55851|UCP2_HUMAN	tr|L7MG24|L7MG24_RHIPC			sp|O97649|UCP3_PIG
OG0002919	sp|Q9CR63|COX16_MOUSE		tr|B7P5Y1|B7P5Y1_IXOSC	tr|B7P5Y1|B7P5Y1_IXOSC	sp|Q9CR63|COX16_MOUSE	tr|A0A023FPB7|A0A023FPB7_AMBCJ, tr|L7LUZ5|L7LUZ5_RHIPC			sp|Q2NKS2|COX16_BOVIN
OG0002920	sp|Q29448|HMGCL_BOVIN		tr|B7QMS7|B7QMS7_IXOSC	tr|B7QMS7|B7QMS7_IXOSC	sp|Q29448|HMGCL_BOVIN	tr|A0A023GGF0|A0A023GGF0_AMBTT, tr|L7M0B0|L7M0B0_RHIPC			sp|Q29448|HMGCL_BOVIN
OG0002921	sp|P28227|MAOX_ANAPL			XP_022650432.1		tr|A0A023GBK8|A0A023GBK8_AMBTT, tr|L7M520|L7M520_RHIPC, tr|V5ICJ3|V5ICJ3_IXORI		sp|P28227|MAOX_ANAPL	sp|P28227|MAOX_ANAPL
OG0002922	sp|Q2KHP8|TYW1_XENLA		tr|B7QN38|B7QN38_IXOSC	tr|B7QN38|B7QN38_IXOSC	sp|Q2KHP8|TYW1_XENLA	tr|L7LUV0|L7LUV0_RHIPC, tr|L7LW33|L7LW33_RHIPC			sp|Q2KHP8|TYW1_XENLA
OG0002923	sp|Q8BZ09|ODC_MOUSE, sp|Q9BQT8|ODC_HUMAN			tr|B7PCW5|B7PCW5_IXOSC	sp|Q9BQT8|ODC_HUMAN	tr|G3MH16|G3MH16_AMBMU, tr|L7LXJ7|L7LXJ7_RHIPC			sp|Q9BQT8|ODC_HUMAN
OG0002924	sp|P00257|ADX_BOVIN		XP_003744574.1	XP_003744574.1	sp|P13216|ADX_CHICK	tr|A0A023G7B1|A0A023G7B1_AMBTT, tr|V5HRJ2|V5HRJ2_IXORI		sp|P13216|ADX_CHICK	
OG0002925	sp|Q05752|NDUA7_BOVIN		XP_023344093.1	XP_023012357.1, XP_023232701.1	sp|Q9Z1P6|NDUA7_MOUSE			sp|Q9Z1P6|NDUA7_MOUSE	sp|Q9Z1P6|NDUA7_MOUSE
OG0002926	sp|Q8R323|RFC3_MOUSE		XP_013789040.1	XP_013789040.1	sp|Q8R323|RFC3_MOUSE	tr|A0A023FIK3|A0A023FIK3_AMBCJ, tr|A0A023GEQ6|A0A023GEQ6_AMBTT, tr|L7MIT3|L7MIT3_RHIPC			
OG0002927	sp|P23935|NDUA5_BOVIN		XP_019874505.1	PSN32971.1, XP_019874505.1	sp|P23935|NDUA5_BOVIN	tr|L7LXH0|L7LXH0_RHIPC			sp|P23935|NDUA5_BOVIN
OG0002928	sp|Q9D051|ODPB_MOUSE		tr|B7PZE3|B7PZE3_IXOSC	tr|B7PZE3|B7PZE3_IXOSC	sp|P49432|ODPB_RAT	tr|L7M8L6|L7M8L6_RHIPC		sp|Q9D051|ODPB_MOUSE	sp|Q9D051|ODPB_MOUSE
OG0002929	sp|Q9UJZ1|STML2_HUMAN		XP_015908120.2	XP_015908120.2	sp|Q9UJZ1|STML2_HUMAN	tr|L7M8Z7|L7M8Z7_RHIPC		sp|Q4FZT0|STML2_RAT	sp|Q9UJZ1|STML2_HUMAN
OG0002930	sp|Q96SK2|TM209_HUMAN		XP_022247767.1	XP_022247767.1, XP_023228880.1, XP_023228889.1		tr|L7M7R6|L7M7R6_RHIPC			sp|Q6GPP7|TM209_XENLA
OG0002931	sp|Q9N2W7|NDUAC_CAEEL				sp|O97725|NDUAC_BOVIN	tr|A0A023FFD8|A0A023FFD8_AMBCJ, tr|C9W1L2|C9W1L2_RHISA, tr|L7M3U1|L7M3U1_RHIPC		sp|Q9N2W7|NDUAC_CAEEL	sp|Q9N2W7|NDUAC_CAEEL
OG0002932	sp|Q19724|NDUS6_CAEEL		tr|B7P5E4|B7P5E4_IXOSC	tr|B7P5E4|B7P5E4_IXOSC	sp|Q19724|NDUS6_CAEEL	tr|L7M645|L7M645_RHIPC		sp|Q19724|NDUS6_CAEEL	sp|Q19724|NDUS6_CAEEL
OG0002933	sp|P52899|ODPA_CAEEL	JAB75847.1			sp|P52899|ODPA_CAEEL	tr|B7PR86|B7PR86_IXOSC, tr|L7MAY8|L7MAY8_RHIPC		sp|P52899|ODPA_CAEEL	sp|P52899|ODPA_CAEEL
OG0002934	sp|Q9H1K1|ISCU_HUMAN		ABI52793.1	ABI52793.1	sp|Q9D7P6|ISCU_MOUSE	tr|L7M1F1|L7M1F1_RHIPC, tr|V5HLY3|V5HLY3_IXORI			sp|Q9D7P6|ISCU_MOUSE
OG0002935	sp|Q1HPL8|NDUBA_BOMMO		tr|B7QLZ0|B7QLZ0_IXOSC	tr|B7QLZ0|B7QLZ0_IXOSC	sp|Q1HPL8|NDUBA_BOMMO	tr|L7M1B9|L7M1B9_RHIPC		sp|Q1HPL8|NDUBA_BOMMO	sp|Q1HPL8|NDUBA_BOMMO
OG0002936	sp|Q0MQI0|NDUS7_PANTR			XP_012262698.1	sp|P0CB83|NDUS7_PONAB	tr|A0A023G6G9|A0A023G6G9_AMBTT, tr|A0A090XCL9|A0A090XCL9_IXORI		sp|P0CB84|NDUS7_PONPY	sp|P0CB84|NDUS7_PONPY
OG0002937	sp|Q16P20|CISY2_AEDAE	JAB75988.1			sp|Q16P20|CISY2_AEDAE	tr|A0A023FEB2|A0A023FEB2_AMBCJ, tr|L7M1L5|L7M1L5_RHIPC		sp|Q16P20|CISY2_AEDAE	sp|Q16P20|CISY2_AEDAE
OG0002938	sp|Q0MQG6|NDUS3_PONPY		tr|B7QEM6|B7QEM6_IXOSC	tr|B7QEM6|B7QEM6_IXOSC	sp|Q0MQG6|NDUS3_PONPY	tr|L7M830|L7M830_RHIPC		sp|Q0MQG6|NDUS3_PONPY	sp|Q0MQG7|NDUS3_GORGO
OG0002939	sp|Q24407|ATP5J_DROME	JAB76453.1	ABI52809.1		sp|Q24407|ATP5J_DROME	tr|A0A023FPA7|A0A023FPA7_AMBCJ, tr|A0A090X916|A0A090X916_IXORI		sp|Q24407|ATP5J_DROME	
OG0002940	sp|P00429|CX6B1_BOVIN		XP_023210569.1	XP_013784765.1	sp|Q5RCT0|CX6B1_PONAB	tr|A0A023FSR5|A0A023FSR5_AMBPA, tr|C9W1B7|C9W1B7_RHISA		sp|Q5RCT0|CX6B1_PONAB	
OG0002941	sp|Q6QLW4|CYC_PECGU	EEC13206.1	AAY66889.1	XP_019758486.1		tr|L7LZM3|L7LZM3_RHIPC		sp|P00040|CYC_SCHGR	sp|P00040|CYC_SCHGR
OG0002942	sp|Q9U505|AT5G_MANSE		ABR23371.1	ABR23371.1	sp|Q71S46|AT5G3_RAT	tr|A0A023FHT3|A0A023FHT3_AMBCJ, tr|C9W1E5|C9W1E5_RHISA, tr|F0J9J4|F0J9J4_AMBVA			
OG0002943	sp|Q16TM5|BND7A_AEDAE		XP_023237212.1	XP_022252860.1, XP_023237212.1	sp|Q16TM5|BND7A_AEDAE	tr|L7MI54|L7MI54_RHIPC			sp|Q16TM5|BND7A_AEDAE
OG0002944	sp|O57593|SURF1_TAKRU		XP_015914717.1	XP_015914717.1, XP_023240930.1	sp|Q15526|SURF1_HUMAN	tr|L7MDX8|L7MDX8_RHIPC			sp|Q15526|SURF1_HUMAN
OG0002945	sp|Q7Q6A7|KMO_ANOGA			BAG12984.1, CRL03399.1, KXJ77718.1	sp|Q7Q6A7|KMO_ANOGA	tr|A0A023GK71|A0A023GK71_AMBTT			sp|Q7Q6A7|KMO_ANOGA
OG0002946	sp|Q9H936|GHC1_HUMAN		XP_021002574.1	XP_021002574.1	sp|Q9H936|GHC1_HUMAN	tr|A0A023FS99|A0A023FS99_AMBPA, tr|L7M5H1|L7M5H1_RHIPC			sp|Q5RD81|GHC1_PONAB
OG0002947	sp|Q6P316|S2540_XENTR		XP_022251690.1	XP_022251690.1	sp|Q6P316|S2540_XENTR	tr|A0A023GL38|A0A023GL38_AMBTT, tr|L7M234|L7M234_RHIPC			sp|Q6P316|S2540_XENTR
OG0002948	sp|Q8CFV9|RIFK_MOUSE		tr|B7PF14|B7PF14_IXOSC	tr|B7PF14|B7PF14_IXOSC	sp|Q8CFV9|RIFK_MOUSE	tr|B7PF14|B7PF14_IXOSC, tr|L7M0S8|L7M0S8_RHIPC			sp|Q8CFV9|RIFK_MOUSE
OG0002949	sp|Q5RKZ7|MOCS1_MOUSE		XP_013780699.2	XP_013780699.2, tr|B7Q4E2|B7Q4E2_IXOSC	sp|Q5RKZ7|MOCS1_MOUSE	tr|G3MH00|G3MH00_AMBMU			sp|Q9NZB8|MOCS1_HUMAN
OG0002950	sp|A4FUY7|MOC2B_BOVIN			ODN01401.1	sp|A4FUY7|MOC2B_BOVIN	tr|A0A023FFF4|A0A023FFF4_AMBCJ, tr|A0A023GH16|A0A023GH16_AMBTT, tr|L7M3P6|L7M3P6_RHIPC			sp|A4FUY7|MOC2B_BOVIN
OG0002951	sp|Q5XIH4|LIAS_RAT		OQR69262.1, XP_022666713.1		sp|Q5BIP7|LIAS_BOVIN	tr|A0A023GCH8|A0A023GCH8_AMBTT		sp|B3M996|LIAS_DROAN	sp|Q5XIH4|LIAS_RAT
OG0002952	sp|Q99MR8|MCCA_MOUSE		tr|B7PDH1|B7PDH1_IXOSC	tr|B7PDH1|B7PDH1_IXOSC	sp|Q5I0C3|MCCA_RAT	tr|L7M2J2|L7M2J2_RHIPC		sp|Q99MR8|MCCA_MOUSE	sp|Q96RQ3|MCCA_HUMAN
OG0002953	sp|Q9D110|MTHFS_MOUSE		XP_013786773.1, XP_013788975.1	XP_013786773.1	sp|P80405|MTHFS_RABIT	tr|A0A023GEV7|A0A023GEV7_AMBTT			sp|Q9D110|MTHFS_MOUSE
OG0002954	sp|Q9NVS9|PNPO_HUMAN			BAN20815.1, RWS21715.1	sp|Q5E9K3|PNPO_BOVIN	tr|L7M422|L7M422_RHIPC, tr|V5GYS2|V5GYS2_IXORI			sp|Q5E9K3|PNPO_BOVIN
OG0002955	sp|Q5T6V5|QSPP_HUMAN		tr|B7P388|B7P388_IXOSC	tr|B7P388|B7P388_IXOSC	sp|Q1JP73|QSPP_BOVIN	tr|A0A023FKA3|A0A023FKA3_AMBCJ, tr|A0A023GF30|A0A023GF30_AMBTT			sp|Q5T6V5|QSPP_HUMAN
OG0002956	sp|Q9DBL7|COASY_MOUSE		tr|B7P746|B7P746_IXOSC	EEC02418.1, tr|B7P746|B7P746_IXOSC	sp|Q9DBL7|COASY_MOUSE	tr|L7M112|L7M112_RHIPC			sp|Q8MIR4|COASY_PIG
OG0002957	sp|Q2KIQ4|COQ2_BOVIN		XP_011298854.1	XP_015522575.1, XP_023018136.1	sp|Q499N4|COQ2_RAT	tr|L7M883|L7M883_RHIPC			sp|Q2KIQ4|COQ2_BOVIN
OG0002958	sp|P27612|PLAP_MOUSE, sp|Q6GM65|PLAP_XENLA		tr|B7PWX1|B7PWX1_IXOSC	tr|B7PWX1|B7PWX1_IXOSC	sp|P27612|PLAP_MOUSE			sp|P27612|PLAP_MOUSE	sp|P27612|PLAP_MOUSE
OG0002959	sp|Q202J4|DTSPH_IXOSC		tr|B7Q3W8|B7Q3W8_IXOSC	tr|B7Q3W8|B7Q3W8_IXOSC	sp|Q202J4|DTSPH_IXOSC	sp|Q202J4|DTSPH_IXOSC		sp|Q202J4|DTSPH_IXOSC	sp|Q202J4|DTSPH_IXOSC
OG0002960	sp|Q8BLJ3|PLCX3_MOUSE			tr|B7QN53|B7QN53_IXOSC	sp|Q58EK3|PLCX3_DANRE	tr|L7M120|L7M120_RHIPC		sp|Q9NUJ7|PLCX1_HUMAN	sp|Q58EK3|PLCX3_DANRE, sp|Q8BLJ3|PLCX3_MOUSE
OG0002961	sp|A7YVD7|NDUF6_BOVIN		XP_022241269.1	XP_013774168.1, XP_022241269.1, XP_023236547.1	sp|D3ZN43|NDUF6_RAT				sp|D3ZN43|NDUF6_RAT
OG0002962	sp|Q0V9N0|S14L5_XENTR, sp|Q92503|S14L1_HUMAN		XP_023225235.1	XP_023225235.1	sp|Q92503|S14L1_HUMAN	tr|L7MFQ4|L7MFQ4_RHIPC			sp|Q92503|S14L1_HUMAN
OG0002963	sp|Q7Q732|DHRS7_ANOGA		KFM59238.1, tr|B7PGD4|B7PGD4_IXOSC	KFM59238.1, PRD28541.1	sp|Q7Q732|DHRS7_ANOGA	tr|B7PGD4|B7PGD4_IXOSC			
OG0002964	sp|Q8TCT0|CERK1_HUMAN		tr|B7PYF2|B7PYF2_IXOSC	XP_021000864.1, tr|B7PYF2|B7PYF2_IXOSC	sp|Q8TCT0|CERK1_HUMAN	tr|L7MHD5|L7MHD5_RHIPC			sp|Q8K4Q7|CERK1_MOUSE
OG0002965	sp|Q8R1R3|STAR7_MOUSE		XP_015925334.1	XP_015925334.1, tr|B7QB22|B7QB22_IXOSC	sp|Q8R1R3|STAR7_MOUSE	tr|L7MCS7|L7MCS7_RHIPC			sp|Q9NQZ5|STAR7_HUMAN
OG0002966	sp|Q503Y4|OVCA2_DANRE		XP_027218885.1	ROT72081.1, XP_014239421.1, XP_019876747.1, XP_027218885.1					sp|Q503Y4|OVCA2_DANRE
OG0002967	sp|Q8I1A6|SH3G3_DROWI		tr|B7Q054|B7Q054_IXOSC	tr|B7Q054|B7Q054_IXOSC	sp|Q8I1A6|SH3G3_DROWI	tr|A0A023GJ99|A0A023GJ99_AMBTT		sp|Q8I1A6|SH3G3_DROWI	sp|Q8I190|SH3G3_DROVI
